Parameter,Type,Min,Max,Default,Description,Example
Sample_Size_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,1,The standard deviation of the sample size when **Sample_Size_Distribution** is set to GAUSSIAN_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-gaussian-std-dev.json)
Sample_Size_Kappa,float,1.17549E-38,3.40282E+38,1,The shape value for the sample size when **Sample_Size_Distribution** is set to WEIBULL_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-kappa.json)
Sample_Size_Lambda,float,1.17549E-38,3.40282E+38,1,The scale value for the sample size when **Sample_Size_Distribution** is set to WEIBULL_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-lambda.json)
Sample_Size_Log_Normal_Mu,float,-3.40282E+38,3.40282E+38,6,The mean of the sample size when **Sample_Size_Distribution** is set to LOG_NORMAL_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-log-normal-mu.json)
Sample_Size_Log_Normal_Sigma,float,-3.40282E+38,3.40282E+38,1,The width of the sample size when **Sample_Size_Distribution** is set to LOG_NORMAL_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-log-normal-sigma.json)
Sample_Size_Max,float,0,3.40282E+38,1,The maximum sample size when **Sample_Size_Distribution** is set to UNIFORM_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-max.json)
Sample_Size_Mean_1,float,1.17549E-38,3.40282E+38,1,The mean of the first exponential distribution when **Sample_Size_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-mean-1.json)
Sample_Size_Mean_2,float,1.17549E-38,3.40282E+38,1,The mean of the second exponential distribution when **Sample_Size_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-mean-2.json)
Sample_Size_Min,float,0,3.40282E+38,0,The minimum sample size when **Sample_Size_Distribution** is set to UNIFORM_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-min.json)
Sample_Size_Peak_2_Value,float,0,3.40282E+38,1,The sample size value to assign to the remaining instances when **Sample_Size_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-peak-2-value.json)
Sample_Size_Poisson_Mean,float,0,3.40282E+38,6,The mean sample size when **Sample_Size_Distribution** is set to POISSON_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-poisson-mean.json)
Sample_Size_Proportion_0,float,0,1,1,The proportion of instances to assign a value of zero when **Sample_Size_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-proportion-0.json)
Sample_Size_Proportion_1,float,0,1,1,The proportion of instances in the first exponential distribution when **Sample_Size_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,[link](../json/campaign-vectorsurveillanceeventcoordinator-sample-size-proportion-1.json)
Species,string,NA,NA,UNINITIALIZED STRING,The name of the vector species to sample. This must match a species name defined in the **Vector_Species_Params** configuration parameters.,[link](../json/campaign-vectorsurveillanceeventcoordinator-species.json)
Start_Trigger_Condition_List,array of strings,NA,NA,[],"A list of coordinator events that when heard will start the VectorSurveillanceEventCoordinator sampling every **Update_Period**, starting at the time the trigger is received. The events must be defined in **Custom_Coordinator_Events** in the simulation configuration file.",[link](../json/campaign-vectorsurveillanceeventcoordinator-start-trigger-condition-list.json)
Stop_Trigger_Condition_List,array of strings,NA,NA,[],A list of coordinator events that when heard will cause the **Counter** to stop sampling and will keep the **Responder** from responding. The coordinator does not expire until the **Duration** has expired. The list can be empty. The events must be defined in **Custom_Coordinator_Events** in the simulation configuration file.,[link](../json/campaign-vectorsurveillanceeventcoordinator-stop-trigger-condition-list.json)
Survey_Completed_Event,string,NA,NA,"""""",Optional coordinator-level event that will be broadcast every time the VectorSurveillanceEventCoordinator surveys the vector population. The event must be defined in **Custom_Coordinator_Events** in the simulation configuration file.,[link](../json/campaign-vectorsurveillanceeventcoordinator-survey-completed-event.json)
Update_Period,float,0,999999,30,"The number of days between sampling of the mosquito population. If the mosquitoes are sampled on day 1 and the period is 30, then the next sample will be taken on day 31.",[link](../json/campaign-vectorsurveillanceeventcoordinator-update-period.json)
